# Folkets lexikon sv→en (CC BY-SA 2.5)
# 36329 entries from folkets-lexikon.csc.kth.se
-procentig	per cent
spritpenna	marker
spritprodukter	alcoholic products
spritservering	alcoholic catering
spritskatt	alcohol tax
spritt	spread
spritta	jump, quiver, tremble
sprit|kök	spirit stove
sprit|rättigheter	licence for restaurants to serve alcoholic beverages
spruckit	split
sprudla	bubble, gush
sprungit	run
spruta	spray, spurt, squirt, syringe
sprutmåla	airbrush paint
sprutmålning	spray paint, spray painting
spräcka	crack, split
spräcklig	speckled
spränga	ache, blow up, explode
sprängkraft	explosion power, explosion velocity, explosive power, explotion power
sprängmedel	explosives
sprängning	demolition, exploding, explosion
sprängverkan	explosive effect
sprätt	dandy, snob, speed
sprätta	spatter
sprätta upp	rip up, slit open
språk	language
språkas vid	converse, talk
språkbarriär	language barrier
språkbegåvning	Ol, gift for languages, language skill
språkforskare	linguist
språkgrupp	language group
språkinlärning	language-learning
språkkunnig	skilled in languages
språkkurs	language course
språklaboratorium	language lab
språklig	linguistic
språkljud	language sound, phonetics
språklära	language learning
språknorm	language norm
språkregel	language rule
språkstudier	language studies, linguistics
språkträning	language practice
språkutbildning	language education
språkutveckling	language development, linguistic development
språkvetenskap	Linguistics
språkvetenskaplig	linguistic
språkvård	language aid
språk|rör	mouthpiece
språng	jump
språng|bräda	springboard
språng|marsch	run
spröd	brittle, delicate, frail
spröjs	mullion, window bar
spröt	antenna
spunnit	spun
spurt	spurt
spurta	spurt
sputnik	sputnik
spy	spew, throw up, vomit
spya	vomit
spydig	malicious
spyor	vomit
späck	fat
späckad	larded
späd	delicate, tender, young
späda	dilute, thin
späda på	add to, mix in
spädgris	piglet
spädning	dilution
späd|barn	baby, infant
späka sig	mortify the flesh
spänd	taut, tight, tense
spändes	perform, stretched, tightened
spänn	krona coin
spänna	buckle, draw, fasten, tense
spänna av	relax
spännande	exciting
spännband	elastic strap, strap
spänne	buckle, clasp, slide
spänner	yoke
spänning	excitement, tension, voltage
spänningstillstånd	tension condition
spänn|vidd	span
spänst	elasticity, springiness
spänstig	fit, vigorous
spär	dilute
spärr	barrier
spärra	block, open wide
spärrad betalning	payment on hold
spärrning	blockera / blockering, constraints, hiss
spärr|linje	solid line
spärr|lista	black list
spätta	plaice
spå	foretell, predict, prophesy
spåkvinna	fortune-teller
spån	chip
spång	footbridge, plank
spånkorg	chip basket
spånplatta	wood chipboard
spåntak	shingle roof
spån|skiva	chipboard, particle board
spår	mark, print, rail, sign, trace, track
spåra	trace, track, trail
spåra ur	be derailed, go off the rails
spårare	tracker
spårbar	traceable
spårbarhet	traceability
spårbart	traceable
spårlös	without a trace
spårlöst	without a trace
spårning	tracking
spårvagnsförare	grinding, tram driver
spårvagnshållplats	tram stop
spår|vagn	streetcar, tram
spår|väg	streetcar line, tramway
spår|ämne	trace element, tracer
spått	traced
spö	rod, switch, twig, whip
spöa	beat, flog, lash, whip
spöka	haunt
spökaktighet	ghostlyness
spökbild	phantom image
spöke	ghost
spökeri	haunting
spökhus	haunted house
spöklik	ghostly
spökliknande	ghost-like
spökskrivare	ghost writers
spökslott	haunted house
spöktimme	haunted hour, swig
spöktimmen	the witching hour
spörs|mål	matter, question
spöstraff	whipping, lashing
spö|regn	pouring (driving) rain
squash	squash
st	ea. (each)
stab	staff
stabil	stable
stabilisera	stabilize
stabilisering	stabilise, stabilization, stabilization, stabilisation, stabilizing
stabilitet	stability
stack	heap, pile, rick, stack, went, left
stackare	poor creature, wretch
stackars	poor
stad	city, town
stadfästa	confirm, establish
stadga	decree, direct, prescribe, regulation, rule, stability
stadgar	rules, regulations
stadig	firm, stable, steady
stadighet	stability
stadig|varande	constant, permanent
stadion	stadium
stadium	stage
stadsaktig	city-like
stadsbebyggelse	rural area, urban area
stadsbefolkning	urban population
stadsbibliotek	city library, town library
stadsgata	city street, street
stadskörning	city driving
stadsliv	city life
stadsplanering	city planning, real estate planning
stadsplaneändring	city plan revision
stadstrafik	urban traffic
stads|bild	appearance of the town (city), urban landscape
stads|bud	porter
stads|del	district, neighbourhood, quarter
stads|hus	town (city) hall
stads|kärna	town (city) centre
stads|plan	town (city) plan
stafett	relay race
staffage|figur	unimportant figure in a landscape
staffli	easel
stag	bracing-wire, guy, stay
staga	affable, brace
stagnation	stagnation
stagnera	stagnate
stagnering	stagnation
staka	push (pole, punt) oneself along, stake out
staka sig	falter, hesitate, stumble
stake	candlestick, drive, vigour, &quot;go&quot;, pole, stake
staket	fence, railing
staketpåle	pole, fencepole
stal	stole
stalinister	Stalinists
stall	stable
stalledräng	stableboy
stalltips	hot tip, tip straight from the horse&#39;s mouth
stallykta	stablelantern
stam	stem, tribe, trunk
stam-	regular
stambyte	change of pipe system
stamceller	Horunge, binge, stamcell, stem cells, valiant
stamfastighet	stipulated
stamhövding	tribal chief (one)
stamkund	regular customer
stamma	be descended from, come of, stammer, stutter
stammare	doubtful speakers
stamning	stuttering
stampa	stamp
stampublik	regulars
stamställe	favorite place
stan	town
standard	standard
standardblankett	standard form
standardexempel	standard example
standardisera	standardize
standardlösning	standard solution
standardmått	Standard dimensions
standardskåp	standard cabinette
standardutförande	standard procedure
standard|prov	standardized achievement test
stank	stank, stink
stanna	stay, stop
stans	punch
stansa	punch
stapel	pile, stack
stapelkost	staple diet
stapla	pile, stack
staplingsbar	stackable
stappla	stagger, stumble, totter
stare	staling
stark	durable, lasting, solid, strong
starkhet	strongness
starkt	strongly
stark|öl	strong beer
starr	cataract
start	start
starta	start
startavgift	starting fee
startbidrag	startup grants
startfält	line up
startpall	starting platform
startplatta	Starting pad, start pad
startsida	start page
starttid	starting time
start|grop	starting blocks (hole)
start|hjälp	relocation allowance
start|skott	starting shot
stass	finery
stat	government, state
statare	agricultural labourer receiving payment in kind
staten	the goverment, the state
statens järnvägar	the Swedish State Railways
statens naturvårdsverk	the National Environment Protection Board
statik	backend, static, statistics
station	station
stationera	station, place, situate, locate
stationerad	stationed
stationär	stationary
statisk	static
statist	extra, person with a walk-on (non-speaking) part
statistik	statistics
statistiker	statistician
statistisk	statistical
stativ	stand, tripod
statlig	government, state
statligt	governmental
statsangelägenhet	State affair, affairs of state
statsanställd	goverment employed
statsbudget	national budget
statschef	head of state
statsfinansiera	goverment-funded
statsföretag	state enterprise
statsförfattning	Constitution
statsgräns	National border
statskontrollerad	state-controlled
statsmakt	governmental power
statsmannamässig	statesmanship rate, statesmanship-like
statsmannaskap	statesmanship
statsmonopol	state monopoly, statemonopoly
statsstöd	hej jag, state support
statstjänare	civil servant
statsverket	the Government, the Public Administration
statsvetare	political scientist
statsvetenskap	political science
statsvetenskaplig	political science
statsvetenskapsman	political scientist
stats|bidrag	government grant, state subsidy
stats|kunskap	political science
stats|kupp	coup d&#39;état
stats|kyrka	national (state) church
stats|lös	stateless
stats|makterna	the government
stats|man	statesman
stats|minister	prime minister
stats|råd	cabinet minister, member of the cabinet
stats|sekreterare	undersecretary of state
stats|skatt	national (state) tax
stats|skick	constitution, form of government
stats|tjänsteman	civil servant, public servant
statsägd	government owned, state-owned
statuera	enact, make, set
status	status
statuspryl	Status gadget
staty	statue
stav	staff, stick
stava	spell
stavelse	syllable
stavkarl	stick figure
stavning	spelling
stavningsregel	spelling rule
stearin	candle wax, stearin
stearinljus	candle
steg	rose, step
stega	pace out, step out, stride
stege	ladder
stegra	increase, raise
stegra sig	rear
stegräknare	pedometer
stegvis	by degrees, step by step
stek	joint, roast
steka	fry, roast
stekbiff	roastbeef, steak
stekfett	cooking grease
stekhet	sizzling hot, smoking hot
stek|panna	frying pan
stel	rigid
stelbent	stiff-legged
stelfrusen	frozen solid, frozen stiff
stelna	stiffen
stel|kramp	lockjaw, tetanus
sten	rock, stone
sten-	stone
stena	stone
stenansikte	Stoneface, stone face
stenbeläggning	stone coating
stenbitsrom	lumpfish roe
stenbock	Capricornus
stenbrott	quarry
stenbumling	boulder
stencil	stencil
stencilera	stencil
stenflis	chippings
stengodslera	stoneware
stengolv	stone floor, stonefloor
stenhus	stonehous
stenhög	heap of stones
stenig	rocky, stony
stenkastning	stone throwing
stenkista	stone coffin
stenkruka	stone pot
stenkyrka	stone church
stenkärl	stone vessels
stenlagd	paved
stenmur	stonewall
stenografi	shorthand, stenography
stenplatta	flagstone, foundation stone, mars
stenskodd	stone-lined
stenvalv	stone arches
stenvägg	stone wall
sten|gods	stoneware
sten|kaka	old 78 record
sten|kast	stone&#39;s throw
sten|skott	stone damage (stone thrown off the road which hits the windscreen or bodywork of a vehicle)
sten|åldern	Stone Age
stenålder	stone age
stenåldersman	caveman
stepp	tap dance
stereo	stereo
stereo-	stereo
stereoanläggning	Soundsystem, stereo system
stereobandspelare	stereo tape recorder
stereoinspelning	stereo recording
stereotyp	stereotype, stereotype, stereotyped, stereotyped
stereotyper	stereotype, stereotypes
steril	sterile
sterilisation	sterilization
sterilisera	sterilize
steriliserad	Sterilized, sterilised
steriliseringar	sterilization
steriliseringsapparat	sterilising apparatus, sterilizing apparatus
stetoskop	stethoscope
steward	steward
stick	prick
sticka	be off, knit, knitting needle, leave, prick, put, splinter, stick, sting
sticka upp	be insolent (cheeky)
sticka ut	protruding
stickas	prick
stickkontakt	plug
stickling	cutting
stickning	knitting
stickspår	Referat, side-track
sticksår	puncture wounds, stab wounds
stick|propp	plug
stick|prov	random sample, spot check
stift	diocese, pin, tack
stifta	found
stiftare	founders
stiftelse	foundation
stig	path
stiga	rise, step, tread, walk
stiga av	get off
stiga upp	get up
stigande	rising, increasing
stigbygel	stirrup
stigbygelrem	stirrup leather
stigmatisera	Stigmatize
stil	manner, style, writing
stilett	stiletto
stilgrepp	stylistic choice
stilig	stylish
stilisera	conventionalize, stylize
stilistik	stylistics
still	still
stilla	allay, alleviate, calm, quiet, sooth, still
stillahavsområdet	Pacific Ocean region
stilleben	still life
stillebenmålare	still life painters
stillestånd	truce
stillhet	calm, quiet, stillness
stillsam	quiet, tranquil
stiltje	calm
stil|bildande	trendsetting
stil|enlig	in keeping with the whole
stil|full	stylish, tasteful
stim	noise, shoal, school
stimma	be noisy
stimulans	stimulation, stimulus
stimulanspaket	Stimulus package
stimulera	stimulate
stimulerande	stimulating
stimulering	stimulation
sting	sting
stingrocka	stingray
stingslig	irritable, touchy
stingslighet	touchiness
stinka	stink
stinn	bulging, stuffed
stins	stationmaster
stint	fixedly
stipendieprogrammet	scholarship programme
stipendium	grant, scholarship
stipulera	stipulate
stirra	stare
stirrig	confused, glassy-eyed, staring
stjäla	steal
stjälk	stalk, stem
stjälpa	overturn, turn upside down
stjärna	star
stjärnbeströdd	glimmering
stjärnkarta	star map, starmap
stjärnsmyckade	star-spangled
stjärnspäckade	star-studded
stjärntecken	zodiac
stjärn|gosse	&quot;star boy&quot;, boy attendant on Lucia
stjärn|skott	rising star
stjärn|smäll	heavy blow to the head (so that one sees stars)
stjärt	backside, behind, bottom, tail
stjärtfjäder	tail feather
stjärtparti	tail section
sto	mare
stock	log, stock
stock-	died-in-the-wool, staunchly, wholly
stocka sig	stagnate
stockholmare	Stockholmer
stockning	stoppage
stod	statue, stood
stof	the Swedish Interpreters&#39; Association
stoff	raw (crude) material
stofil	old fogey, old fossil
stoft	dust, powder
stoisk	stoic
stoj	noise, uproar
stoja	be noisy, romp
stol	chair
stolle	Leand, silly person
stollig	crazy
stolpe	pole, post
stolpiller	suppository
stolssits	chair seat
stolsätet	chair seat, car seat
stolt	proud
stolthet	pride
stoltsera	boast, brag
stomatit	stomatitis
stomjölk	horsemilk
stomme	frame
stopp	hold-up, stop!, stoppage
stoppa	darn, fill, mend, put, stop, stuff, thrust
stoppa i sig	eat
stoppa undan	put aside, stash, stow away
stoppboll	Slice
stoppljus	stoplight, trafficlight
stopplykta	stop-light
stoppning	stuffing, upholstery
stoppskylt	stop sign, stopsign
stopp|ur	stopwatch
stor	great, large, big
storartad	grand, magnificent
stora|syster	big (older) sister
storblommig	large-flowered, with large flowers
storbritannien	great britain
store|bror	big (older) brother
storflygplats	mega-airport
storgråta	bawl
storhertig	duke
storhet	grandeur, greatness, magnitude, quantity
storhetstid	heyday
storhets|vansinne	megalomania, delusions of grandeur
stork	stork
storkna	choke
storkornig	large grained
storlek	size
storleksordning	according to size, incongruence, order according to size, order of magnitude, size of, size order, size ranking, size scale
storm	storm
storma	assault, blow a gale, storm
stormande	stormy
stormangrepp	storm attacks
stormanlöpning	plants
stormanssläkt	noble family
stormen	the storm, the tempest
stormfågel	yen
stormförtjust	thrilled
stormig	stormy
stormighet	stormy
stormnatt	handling, storm night, stormbight, stormnight, stormy night
stormrik	filthy rich, really wealthy
stormskadad	storm damage
stormväder	stormy weather, stormy wether, tempest
stormvåg	storm-wave
stormästare	champion
storpack	big pack, big size, super size pack
storpamp	mogul, tycoon
storpolitisk	grand political
storprickig	with large dots
storrengöring	deep clean
storrökare	big smoker, chain smoker, familar, heavy smoker
storsint	generous, magnanimous
storskalighet	fullscale
storslagenhet	splendour
storslam	grand slam
storspela	play very well
storspelare	major gambler
storstadsbo	city dweller, urban resident
storstadsgata	big city street, city street
storstadslarm	aggregat, citynoice, citynoise, metropolitan noise, pubben, urban noise
stortvätt	big laundry
storvulen	grand, grandiose
storvuxen	large
story	story
stor|drift	large-scale production
stor|dåd	great achievement
stor|familj	extended family
stor|makt	great power, superpower
stor|marknad	hypermarket, superstore
stor|möte	general meeting
stor|skalig	large-scale
stor|slagen	grand, grandiose, magnificent
stor|stad	big city (town)
stor|stilad	grand, grandiose
stor|säljare	best-seller
stor|tå	big toe
stor|verk	great achievement
stp	Special Supplementary Pension Insurance
straff	penalty, punishment, sentence
straffa	punish
straffansvar	criminal liability
straffarbetare	labour prisoner
straffarbete	enforced hard labor
straffare	punisher
straffbara	punishable
strafflag	penalty law
strafflängd	length of punishment
straffmyndighetsålder	legal age
straffregister	criminal record
straffrättslig	criminal, criminal law, judicial, vault
straffskala	sentencing tariff
straffslag	penalty
straff|belagd	punishable
straff|ränta	interest on overdue payments
stram	austere
strama	be tight-fitting, feel tight
stramare	stricter, tightened, tighter
strand	beach, seashore
stranda	beach, break down, fail, run ashore (aground)
strandbank	pire
strandbryn	edge of the beach
strandhotell	beach hotel (singular)
strandklippa	beach cliff
strandpromenad	boardwalk
strandskydds|område	restricted access beach (coast)
strandsnäcka	shell
strandtomt	beach lot, beachfront property, beachhouse
strandväxt	beach plant
strand|hugg	shore raid, foray
strand|satt	stranded
strangulation	strypa, strypning
strapats	hardship
strategi	strategy
strategisk	strategic
stratosfären	stratosphere
stratosfärisk	stratospheric
strax	at once, directly
straxt	soon
streber	careerist, climber, eager beaver
streck	line, prank, stroke, trick
strecka	draw a broken line
streckkoder	bar codes
stred	fought
strejk	strike
strejka	strike
strejkförbud	strike ban
strejkrisk	strike risk
streptokockinfektion	streptococcal infection
stress	stress
stressa	put a person under stress, put pressure on a person, stress
stressad	stressed
stressig	stressful
stresstålig	stress resistant
streta	plod on, struggle, toil, work hard
strid	fight, rapid, swift
strida	be contrary to, conflict with, fight
stridande	conflicting, combatant
stridbar	belligerent, pugnacious
stridig	aggressive, contradictory, opposed, pugnacious, quarrelsome
stridighet	conflict, dispute
stridis	fighter
stridshandling	act of war
stridsklubba	hatch, war hammer
stridsplans	fighter-plane&#39;s
stridssignal	battle call, battle cry, battle signal, call to arms, signal for battle, war cry
stridsställning	battle position
stridsuppdrag	elaborate
stridsvagnsminor	anti-tank mines
stridsvagnspansar	battle tank
strids|krafter	military (armed) forces
strids|lysten	eager to fight
strids|spets	warhead
strids|vagn	tank
stridsämne	combat substance
strikt	strict
strila	sprinkle
strimla	shred, strip
strimma	ray, streak, stripe
stringent	stringent
stripig	lank, straggling
strippa	strip
strippning	strip
striptease	striptease
stripteasedansös	striptease dancer
stritt	fought
stroboskop	stroboscope
strof	stanza, verse
stroke	stroke
strong	strong, powerful, forceful
stropp	strap, stuck-up (conceited) person
strosa	mooch, stroll
strudeln	the strudel
strukit	cancelled, cut out, ironed, rubbed, stroked, struck off
struktur	structure, texture
strukturell	structural
strukturerad	structured
strukturering	structuring
strukturfond	Structural fund
strukturformel	structural formula
strukturomställning	Structural adjustment
strukturplanering	structured planning
struktursvag	structurally weak
strul	bother, fuss, muddle, trouble
struma	goitre, struma
strumpa	sock, stocking
strumpeband	garter
strumphållare	garter
strump|byxa	pantyhose, stretch tights
strunt	rubbish
strunta	not bother about
struntfråga	trivia question
struntprat	blah-blah
strunt|summa	trifle, trifling sum
strupe	throat
struplock	epiglottis
strut	cone, cornet
struts	ostrich
strutsfjäder	ostrich feather
strutsmentalitet	ostrich mentality
strutspolitik	head-in-the-sand policy
strutta	strut
stryk	beating, thrashing
stryka	cancel, cut out, iron, rub, strike off, stroke
stryka med	be finished (polished) off
stryka under	underline
strykrum	ironing room
stryktålig	rugged
stryk|bräda	ironing board
stryk|järn	flat-iron, iron
stryk|pojke	whipping boy
strypa	choke, strangle, throttle
strypare	stranglerer
sträcka	distance, prolong, reach, stretch
sträckbänken	rack
sträckläsa	read at a single sitting, read at a stretch
sträckning	fracturing, pull, road building, strain
sträck|bänk	rack
sträng	severe, strict, string
strängaspel	by string, stringplay
strängläggning	whats
sträv	rough
sträva	strive, endeavour, struggle
strävan	ambition, aspiration
strävsam	hardworking, industrious
strå	straw
stråfoder	straw-stuffing
stråhatt	kille, straw hat
stråk	highway, thoroughfare
stråke	bow
stråkensemble	string ensemble
stråkinstrument	string instruments
stråktrio	string Trio*
stråla	beam, shine
strålande	brilliant, radiant
stråldos	radiation dose
stråle	jet, squirt
strålkastarljuset	Spotlight
strålning	radiation
strålningsbehandling	radiation treatment
strålningsrisk	radiation hazard
strålningsskydd	radiation-protection
strålrisk	radiation hazard, radiation risk
strålskyddet	radiation protection
strål|kastare	searchlight
strål|skydd	protection against radiation
strö	sprinkle
strö-	casual, odd
strög	main shopping street
strök	cancelled, cut out, ironed, rubbed, stroked, struck off
ström	current, swiftly-flowing water
strömavbrott	blackout, power outage
strömkrets	circuit
strömkälla	Energi, Upper jaw, current source, energy source, power source, power source&#39;, power supply
strömlinje	streamline
strömlinje|formad	streamlined
strömma	flow, pour, stream
strömming	Baltic (small) herring
strömning	current
strömstyrka	amper
strömuttag	power outlet
ström|brytare	circuit breaker, switch
ströp	strangled
strössel	hundreds and thousands
ströva	ramble, roam, stroll
ströv|tåg	ramble
strö|bröd	dried breadcrumbs
strö|socker	granulated (caster) sugar
stubb	stubble
stubbe	stump
stubin	fuse
stubintråden	fuse, stickler, the fuse, the fuze
stuckatur	stucco
stuckit	gone
stud	student
student	student
studentikos	high-spirited, jaunty
studentlägenhet	student apartment, student flat
studentläkare	medical intern, pre-med, student doctor, studentdoctor
studentrevolt	student uprising
studentrum	dorm, student-residence
studentskiva	student party
student|betyg	upper-secondary leaving certificate
student|bostad	student accommodation
student|examen	upper-secondary final examination
student|kår	students&#39; union
studera	study
studerad	has been studied, studied
studerande	student
studie	study
studieform	form of study
studiegrupp	lexin, studygroup
studiekurs	course
studiematerial	study materials, studying material
studiemål	studie goal
studieobjekt	study object
studieresa	Study trip
studieresultat	academic result
studietakt	Study pace
studieväg	study path
studie|bidrag	study grant
studie|cirkel	study circle
studie|förbund	adult educational association
studie|hjälp	financial assistance for upper-secondary level students
studie|lån	study loan
studie|medel	study allowances (grants)
studie|plan	syllabus
studie|rektor	director of studies
studie|stöd	study allowances
studio	studio
studiovärdinna	Studio hostess
studium	study
studs	bounce, rebound
studsa	bounce
studsare	sporting rifle
studsboll	bouncing ball, bouncy ball
studsmatta	trampoline
stuga	cabin, cottage, hut
stug|by	holiday village
stuka	sprain
stulen	stolen
stulit	stolen
stulta	toddle
stum	dumb, mute
stumhet	muteness
stump	stub, stump
stumpa	tiny tot
stund	moment, while
stunda	approach, draw near
stundligen	momentarily, repeatedly
stundom	at times, now and then, sometimes
stundtals	at times, now and then, sometimes
stuntman	stuntman
stup	precipice, steep slope
stupa	drop, fall, fall down, fall steeply
stupfull	drunk, plastered, soused, stoned
stupid	stupid
stupiditet	parallell, stupidity
stup|ränna	rain gutter
stup|rör	drainpipe
stursk	cheeky, saucy
stuteri	stud farm
stuv	remnant of cloth
stuva	cook in white sauce, stow
stuveriarbetet	the dock work
stuveri|arbetare	longshoreman, stevedore
stuvning	white sauce
styck	one
stycka	cut up, divide into lots, parcel out
stycke	piece
styckeindelning	paragraph
stycke|gods	general (mixed) cargo
styckfryst	frozen pieces, individually frozen
styckning	cutting-up, dressing
styckningsschema	butcher chart, butcher&#39;s chart
styckverk	costomer perceived value
stygg	nasty, naughty
stygga	naughty
styggväder	nasty weather
stygn	stitch
stylta	stilt
stympa	maim, mutilate
stympade	mutilate, mutilated, tapered
styng	gadfly
styr	control
styra	govern, rule, steer
styrande	ruling
styrbord	starboard
styrbordsankare	starboard anchor
styrbordssida	starboard, starboard side
styrd	controlled, governed by, ruled
styre	government, handlebars, rule
styrelse	board of directors, committee
styrelseledamot	Board member
styrelsemedlem	board member, chairman, director
styrelsemöte	board meeting
styrelseprotokoll	board minutes
styrelsesammanträde	board meeting
styrelse|skick	form of government
styres|man	chief, director, head
styrförmåga	steerability
styrgrupp	executive committee
styrka	attest, authenticate, degree, force, fortify, intensity, prove, strength, strengthen, verify
styrkare	burk
styrkebalans	balance of forces, power balance
styrkekälla	energy source
styrkelyft	weightlifting
styrke|tår	bracer, pick-me-up
styrman	helmsman, mate
styrmekanism	control mechanism, steering mechanism
styrning	governing
styrspak	joystick
styrtabell	control table
styrutrustning	Ratt, roder
styv	good at, clever at, hard, stiff
styva	stiff
styvbroder	step-brother
styvbror	stepbrother
styvdotter	step daughter, stepdaughter
styvfader	step father, stepfather, steph father, the stepfather
styvmoder	stepmother, swag
styvna	grow stiff, stiffen
styvnackad	stiff-necked
styvsint	pigheaded
styvt	rigidly, stiffly
styv|barn	stepchild
styv|far	stepfather
styv|moderlig	biased, unjust
styv|mor	stepmother
städ	anvil
städa	clean, tidy up
städad	decent
städare	cleaner
städbolag	cleaning companies
städer	towns
städerska	cleaner
städfirma	cleaning company
städhjälp	cleaner
städning	cleaning, tidying up
städse	always, ever
städ|skåp	broom cupboard
ställ	rack, stand
ställa	put, set
ställa in	adjust, cancel
ställa in sig	prepare oneself for
ställa om	rearrange
ställa samman	compile
ställa sig in	ingratiate oneself
ställa till	arrange, cause, make a mess, organize
ställa upp	arrange, draw up, stand by, take part
ställa ut	exhibit, show
ställbar	adjustable
ställd	nonplussed
ställe	house, place
ställning	position, score, stand, standing, status
ställnings|krig	positional war, trench warfare
ställnings|tagande	standpoint
ställ|företrädande	deputy
ställ|företrädare	deputy
stämma	agree, correspond, tally, arrange, assembly, meeting, part, pitch, summons, tune, voice
stämning	atmosphere, feeling, mood, summons
stämningsläge	mood
stämpel	stamp
stämpelklocka	time clock
stämpel|skatt	stamp duty
stämpel|ur	time clock
stämpla	stamp
stäm|band	vocal cord
stäm|gaffel	tuning fork
stäm|järn	chisel, mortise chisel
ständig	constant
ständigt	Astonish, all the time, constant, continuous, continually, constantly, constantly, continuously
stänga	close, shut
stänga av	shut off, turn off
stängd	closed
stänger	butt, gore
stängning	closing-down
stängningsdags	closing time
stängningsdatum	Date of closure, closing date, date for shutdown
stängningstid	closing hour, closing time
stängsel	fence
stängsla	fence
stänk	splash
stänka	splash
stänk|skärm	fender, mudguard, wing
stärka	starch, strengthen
stärkelse	starch
stäv	stem or stern post
stäva	bear towards, head for
stävja	check
stå	be, stand, stop
stå på	be going on, be on
stå sig	keep (wear) well, last
stå tillbaka	be in the background
stå ut	stand
stå över	pass
stå-upp-komikerna	Stand up comedians, the stand up comics
stående	constant, permanent, standing
ståhej	fuss, to-do, hullabaloo
stål	steel
stålar	money
stålbalk	beam
stålband	iron band, steel band (musical)
stålframställning	Steelmaking
stålföretag	Steel companies
stålgjuteri	Steel moulder
stålindustri	Steelindustry, steel industry
stålindustrianläggning	steel mill, steel works
stålkam	steel comb
stålkant	steel edge
stålkonstruktion	steel construction, steel constuction
stålmöbel	steel furniture
stålrörsmöbel	steel-piped furniture, tubular steel furniture
stålsätta sig	steel oneself
ståltillverkning	steel manufacturing
ståltryck	steel pressure
ståltrådsstängsel	wire fence
stålull	steel whool, steelwool
stålvajer	steel wire
stålvilja	iron will, will of steel
stålwire	steel wire
stål|man	superman
stål|verk	steelworks
stånd	booth, condition, erection, height, level, stall, stand, state, status
ståndaktig	steadfast
ståndsmässig	consistent with one&#39;s position in society
stånd|punkt	standpoint
stång	pole
stångas	butt, gore
stånka	breathe heavily
ståplatsbiljett	stand up ticket
ståt	pomp
ståta	parade, show off
ståtlig	grand
stått	stood
ståuppkomiker	comedian, stand-up comedian, stand-up-comediant, stand-up-comedy, stay up comedian
stöd	support
stöda	steady, support
stödberättigad	eligible for aid (financial), eligible for support
stödcentrum	support center
stödd	Taunted, approved, support, supportad by, supported, supported by
stöddig	sturdy
stödförband	emergency splint
stödinsats	asisst, supportive aid
stödja	support
stödjande	supportive
stödjare	supporter
stödkommitté	standing committee, support committee, supporting committee
stödkorsett	corset
stödköp	support purchases
stödmur	support wall
stödram	supporting frame
stödtrupp	support troop
stöd|område	special assistance (development) area
stöd|undervisning	remedial training
stök	cleaning
stöka	clean up, potter (rummage) about
stöka till	make a mess
stökig	messy
stöld	theft
stöldförsäkring	theft insurance
stöldsäker	burglar proof
stön	groan, moan
stöna	groan, moan
stöp	fell
stöpa	cast, mould
stöp|sleven	casting-ladle
stör	pole, stake, sturgeon
störa	interrupt
störande	disturbing
störd	disturbed
störfaktorer	distubances
störning	disorder, disturbance, interference
störningsmoment	distraction
större	bigger
störst	biggest
största	largest
stört	absolutely, utterly
störta	bring down, overthrow, rush
störtdyka	nosedive
störtdykning	nose dive
störtloppsbacke	downhill slope
stört|hjälm	crash helmet
stört|lopp	downhill (skiing) race
stöt	break-in, job, prod, shock, stab, thrust
stöta	bruise, bump, crush, knock, offend, pound, shock
stöta på	come across, remind, run into
stöta sig	fall out with, get on the wrong side of
stötande	disturbing
stötdämpare	shock-absorber
stötdämparen	bumper
stöte|sten	stumbling block
stött	bumped, offended, supported
stötta	prop, support
stötte|pelare	mainstay
stöt|fångare	bumper
stövel	boot
stövla	trudge
subarktisk	subarctic
subbig	patiencne
subjekt	subject
subjektiv	subjective
subjektivism	subjectivism
subkontinenten	sub-continent
subkritiska	sub critical, subcritical
sublim	sublime
sublimera	sublimate
subliminalt	subliminal
subordinera	sub ordinate, subordinate
subsidiära	subsidiary
substans	substance
substantiell	substantial
substantiv	noun
substitut	substitute
substitutionsprincipen	substitution principle
subtil	subtle
subtrahera	subtract
subtraktion	subtraction
subtraktiv	subtractive
subtropisk	sub-tropical
subvention	subsidy, subvention
subventioner	subsidies, subventions
subventionera	subsidize
subventionerad	discounted
subversiv	subversive
sub|kultur	subculture
succession	succession
successiv	gradual, successive
succé	success
succéförfattare	successful author
suck	sigh
sucka	sigh
sudanes	Sudanese, sudanesian
sudd	eraser, rubber, spree, wad
sudda	erase, rub out
suddig	blurred
suddighet	bluriness, blurred, blurriness, blurry, capitalised
suddning	erasing
sudd|gummi	india rubber
suezkanalen	Suez Canal, Suez channel, the Suez canal
suffix	suffix
sufflé	soufflé
sufflör	prompter
sug	strong attraction, suction apparatus
suga	suck
suga ut	suck out
sugande	sucking
sugen	peckish
sugfot	suction cup
sugga	sow
suggerera	influence by suggestion
suggererande	depose
suggestion	suggestion
suggestiv	suggestive
sugit	sucked
sugmärke	hickey
sugröret	Engl. &quot;straw&quot; - sugrör, straw, straw (for drinking etc.), straw (for drinking), the straw
sug|rör	straw
sukta	long for
sula	sole
sulfa	sulphur
sulfit	sulphite
sulfiter	sulphites
sulfitfabrik	sulfite factory, sulphite mill
sulky	sulky
sultaner	sultans
sumeriskt	Sumerian, premisser
summa	amount, sum, total
summarisk	summary
